Frecuencias,VoltajeCH1,VoltajeCH2,ResolucionVCH1,ResolucionVCH2,Transferencia,Atenuacion,Corriente,Error VCH1,Error VCH2,Error T,Error A
10.0,5.04,0.696,0.08,0.008,0.13809523809523808,-17.196425936699264,0.0007018959257765227,0.0025,0.00025,0.0044348280296195395,0.2789410218656992
11.753722651306362,5.04,0.86,0.08,0.02,0.17063492063492064,-15.358641704039151,0.0008672851956434046,0.0025,0.000625,0.005156558633186826,0.26248612554460954
13.814999616383224,4.96,0.98,0.08,0.02,0.1975806451612903,-14.085112015954053,0.0009883017345703913,0.0025,0.000625,0.00411418744275934,0.18086477068110038
16.237767391887218,4.96,1.1400000000000001,0.08,0.02,0.22983870967741937,-12.771536503074497,0.0011496571198063737,0.0025,0.000625,0.003240225843744057,0.12245214968648117
19.08542144006686,4.96,1.3,0.08,0.02,0.2620967741935484,-11.630766483667214,0.0013110125050423559,0.0025,0.000625,0.0026576216769579734,0.08807360814269229
22.432475028984197,5.04,1.52,0.08,0.02,0.30158730158730157,-10.411738970015056,0.0015328761597418314,0.0025,0.000625,0.0021363566170292665,0.06152831271542997
26.366508987303583,4.96,1.74,0.08,0.02,0.35080645161290325,-9.098648564151954,0.0017547398144413069,0.0025,0.000625,0.0017642958655760712,0.04368357282721228
30.9904633919943,4.96,2.0,0.08,0.04,0.40322580645161293,-7.889033616524324,0.002016942315449778,0.0025,0.00125,0.0019912307751739876,0.04289311467755827
36.42533115449638,5.04,2.2800000000000002,0.08,0.04,0.45238095238095244,-6.8899137889014295,0.0022993142396127474,0.0025,0.00125,0.0016343262071221484,0.031379696675880885
42.81332398719396,4.96,2.56,0.08,0.04,0.5161290322580645,-5.744834223566958,0.002581686163775716,0.0025,0.00125,0.0013596599981656168,0.022881597335631623
50.32159359259993,4.96,2.84,0.08,0.04,0.5725806451612903,-4.843266728863196,0.0028640580879386846,0.0025,0.00125,0.0011686703773331664,0.01772840560814326
59.14660544591752,4.96,3.12,0.08,0.04,0.6290322580645161,-4.026541649435094,0.003146430012101654,0.0025,0.00125,0.0010235797754011464,0.014133934867260636
69.51927961775608,4.96,3.44,0.08,0.04,0.6935483870967741,-3.1784646783733477,0.0034691407825736182,0.0025,0.00125,0.000895913891339817,0.011220283011488292
81.71103315457204,4.96,3.6799999999999997,0.08,0.04,0.7419354838709676,-2.592677156333597,0.0037111738604275915,0.0025,0.00125,0.0008192153974692028,0.009590610891254498
96.04088212505384,4.96,3.92,0.08,0.08,0.7903225806451613,-2.043912189394805,0.003953206938281565,0.0025,0.0025,0.001028546860689835,0.011304048167568774
112.88378916846897,4.88,4.16,0.08,0.08,0.8524590163934427,-1.386529827519357,0.0041952400161355385,0.0025,0.0025,0.0009263602268561274,0.009438885085182269
132.68047497147245,4.8,4.24,0.08,0.08,0.8833333333333334,-1.0775076156570909,0.0042759177087535296,0.0025,0.0025,0.000890621998915336,0.00875755968884319
155.94895040582833,4.8,4.4,0.08,0.08,0.9166666666666667,-0.755771217787995,0.004437273093989512,0.0025,0.0025,0.0008408481712861418,0.007967470274356618
183.2980710832437,4.8,4.5600000000000005,0.08,0.08,0.9500000000000002,-0.44552789422304306,0.004598628479225495,0.0025,0.0025,0.000796001513396452,0.007277875049572977
215.44346900318843,4.8,4.64,0.08,0.08,0.9666666666666667,-0.29446513641412697,0.004679306171843485,0.0025,0.0025,0.0007752172281891001,0.006965639265079865
239.5026619987486,4.8,4.640000000000001,0.08,0.08,0.9666666666666668,-0.2944651364141259,0.004679306171843486,0.0025,0.0025,0.0007752172281891,0.0069656392650798635
266.248614403985,4.8,4.72,0.08,0.08,0.9833333333333333,-0.1459847748299893,0.004759983864461476,0.0025,0.0025,0.0007554283785697871,0.006672780534630087
295.98136438421835,4.8,4.72,0.08,0.08,0.9833333333333333,-0.1459847748299893,0.004759983864461476,0.0025,0.0025,0.0007554283785697871,0.006672780534630087
329.03445623126674,4.8,4.72,0.08,0.08,0.9833333333333333,-0.1459847748299893,0.004759983864461476,0.0025,0.0025,0.0007554283785697871,0.006672780534630087
365.7786820891421,4.8,4.72,0.08,0.08,0.9833333333333333,-0.1459847748299893,0.004759983864461476,0.0025,0.0025,0.0007554283785697871,0.006672780534630087
406.6262415290343,4.8,4.8,0.08,0.08,1.0,0.0,0.004840661557079467,0.0025,0.0025,0.000736569563735987,0.006397761941368494
452.0353656360245,4.8,4.8,0.08,0.08,1.0,0.0,0.004840661557079467,0.0025,0.0025,0.000736569563735987,0.006397761941368494
502.5154574808823,4.8,4.72,0.08,0.08,0.9833333333333333,-0.1459847748299893,0.004759983864461476,0.0025,0.0025,0.0007554283785697871,0.006672780534630087
558.6328066431621,4.8,4.88,0.08,0.08,1.0166666666666666,0.14357169254246752,0.004921339249697458,0.0025,0.0025,0.0007185807108516607,0.006139192869344112
621.0169418915616,4.8,4.88,0.08,0.08,1.0166666666666666,0.14357169254246752,0.004921339249697458,0.0025,0.0025,0.0007185807108516607,0.006139192869344112
690.3676932863998,4.8,4.8,0.08,0.08,1.0,0.0,0.004840661557079467,0.0025,0.0025,0.000736569563735987,0.006397761941368494
767.4630429274296,4.8,4.88,0.08,0.08,1.0166666666666666,0.14357169254246752,0.004921339249697458,0.0025,0.0025,0.0007185807108516607,0.006139192869344112
853.1678524172814,4.8,4.88,0.08,0.08,1.0166666666666666,0.14357169254246752,0.004921339249697458,0.0025,0.0025,0.0007185807108516607,0.006139192869344112
948.4435649458936,4.8,4.88,0.08,0.08,1.0166666666666666,0.14357169254246752,0.004921339249697458,0.0025,0.0025,0.0007185807108516607,0.006139192869344112
1054.3589908346814,4.8,4.8,0.08,0.08,1.0,0.0,0.004840661557079467,0.0025,0.0025,0.000736569563735987,0.006397761941368494
1172.1022975334806,4.8,4.8,0.08,0.08,1.0,0.0,0.004840661557079467,0.0025,0.0025,0.000736569563735987,0.006397761941368494
1302.9943385750223,4.8,4.88,0.08,0.08,1.0166666666666666,0.14357169254246752,0.004921339249697458,0.0025,0.0025,0.0007185807108516607,0.006139192869344112
1448.503471012148,4.8,4.88,0.08,0.08,1.0166666666666666,0.14357169254246752,0.004921339249697458,0.0025,0.0025,0.0007185807108516607,0.006139192869344112
1610.2620275609393,4.8,4.88,0.08,0.08,1.0166666666666666,0.14357169254246752,0.004921339249697458,0.0025,0.0025,0.0007185807108516607,0.006139192869344112
1790.0846282355378,4.8,4.8,0.08,0.08,1.0,0.0,0.004840661557079467,0.0025,0.0025,0.000736569563735987,0.006397761941368494
1989.98853689599,4.8,4.8,0.08,0.08,1.0,0.0,0.004840661557079467,0.0025,0.0025,0.000736569563735987,0.006397761941368494
2212.21629107045,4.8,4.8,0.08,0.08,1.0,0.0,0.004840661557079467,0.0025,0.0025,0.000736569563735987,0.006397761941368494
2459.2608589148253,4.8,4.72,0.08,0.08,0.9833333333333333,-0.1459847748299893,0.004759983864461476,0.0025,0.0025,0.0007554283785697871,0.006672780534630087
2733.893605522632,4.8,4.72,0.08,0.08,0.9833333333333333,-0.1459847748299893,0.004759983864461476,0.0025,0.0025,0.0007554283785697871,0.006672780534630087
3039.195382313195,5.04,4.8,0.08,0.08,0.9523809523809523,-0.4237859813987619,0.004840661557079467,0.0025,0.0025,0.0007552083333333333,0.0068876390489343835
3378.5910882615008,5.04,4.88,0.08,0.08,0.9682539682539683,-0.2802142888562934,0.004921339249697458,0.0025,0.0025,0.0007364673900965384,0.006606608061671744
3755.88809068008,5.04,4.8,0.08,0.08,0.9523809523809523,-0.4237859813987619,0.004840661557079467,0.0025,0.0025,0.0007552083333333333,0.0068876390489343835
4175.3189365604,4.96,4.72,0.08,0.08,0.9516129032258064,-0.4307935571221943,0.004759983864461476,0.0025,0.0025,0.00076833357730464,0.007012999335197365
4641.588833612777,5.04,4.8,0.08,0.08,0.9523809523809523,-0.4237859813987619,0.004840661557079467,0.0025,0.0025,0.0007552083333333333,0.0068876390489343835
6704.8472607523445,5.12,4.5600000000000005,0.08,0.08,0.8906250000000001,-1.0061023662279143,0.004598628479225495,0.0025,0.0025,0.0008243207087205996,0.008039251876287644
9685.256148599346,5.04,4.24,0.08,0.08,0.8412698412698413,-1.501293597055853,0.0042759177087535296,0.0025,0.0025,0.0009159021209840144,0.009456448278389073
13990.503141372928,5.04,3.76,0.08,0.04,0.7460317460317459,-2.544853830357286,0.0037918515530455826,0.0025,0.00125,0.0008004129408051042,0.009319038372954674
20209.49938191077,5.12,3.16,0.08,0.04,0.6171875,-4.191657567148539,0.0031867688584106494,0.0025,0.00125,0.0010181765558142008,0.014329145026215396
29192.936175372743,5.2,2.48,0.08,0.04,0.4769230769230769,-6.431033256171659,0.0025010084711577247,0.0025,0.00125,0.0014605165953625698,0.026599438307171454
42169.65034285822,5.2,1.82,0.08,0.02,0.35,-9.118639112994488,0.0018354175070592982,0.0025,0.000625,0.001688054408760327,0.04189215513583236
60914.71578453575,5.2,1.32,0.08,0.02,0.25384615384615383,-11.908588248578987,0.0013311819281968537,0.0025,0.000625,0.00265822105076234,0.09095672449895108
87992.25435691074,5.12,0.92,0.08,0.02,0.1796875,-14.90964267260551,0.000927793465106898,0.0025,0.000625,0.004655968926095943,0.22506424904531222
127106.17996147458,5.12,0.6,0.08,0.008,0.1171875,-18.62237421184374,0.0006050826946349334,0.0025,0.00025,0.005477507318092153,0.40599060528334535
183606.8538358786,5.2,0.384,0.08,0.008,0.07384615384615384,-22.633442385345365,0.0003872529245663574,0.0025,0.00025,0.010959503538962545,1.289072392662869
265222.95600204053,5.2,0.224,0.08,0.004,0.043076923076923075,-27.31510650601273,0.00022589753933037514,0.0025,0.000125,0.017099065352998762,3.4477995168084195
383118.6849557293,5.12,0.0608,0.08,0.0008,0.011875,-38.507327634061916,6.131504638967325e-05,0.0025,2.5e-05,0.05375581002585795,39.319329119106705
553420.8990607793,5.2,0.11,0.08,0.002,0.02115384615384615,-33.49221316953148,0.00011093182734973779,0.0025,6.25e-05,0.035184682574228104,14.447030935531782
799425.0960446707,5.2,0.248,0.08,0.004,0.047692307692307694,-26.431033256171656,0.0002501008471157725,0.0025,0.000125,0.0146051659536257,2.6599438307171455
1154781.9846894585,5.2,0.4,0.08,0.008,0.07692307692307693,-22.278867046136735,0.0004033884630899556,0.0025,0.00025,0.010250762166785452,1.157480855527761
1668100.537200059,5.04,0.536,0.08,0.008,0.10634920634920636,-19.465314935055105,0.0005405405405405405,0.0025,0.00025,0.006402273997782589,0.5228947848919043
2409597.1699414817,4.96,0.648,0.08,0.008,0.13064516129032258,-17.678133412392082,0.0006534893102057281,0.0025,0.00025,0.004858486789504252,0.3230144893606312
3480700.588428413,4.88,0.728,0.08,0.008,0.14918032786885246,-16.52576885379347,0.0007341670028237192,0.0025,0.00025,0.0041342244230012145,0.24071147711077812
5027926.135296767,4.5600000000000005,0.744,0.08,0.008,0.16315789473684209,-15.747838142371126,0.0007503025413473175,0.0025,0.00025,0.0039411331431446935,0.20981054937910595
7262917.501736206,4.0,0.704,0.08,0.008,0.176,-15.089746643717003,0.0007099636950383218,0.0025,0.00025,0.004084317190366734,0.20156777478623475
10491397.291363113,3.44,0.656,0.04,0.008,0.19069767441860466,-14.393092063917397,0.0006615570794675273,0.00125,0.00025,0.0027612750553080287,0.1257704398539196
15154986.560002731,2.88,0.512,0.04,0.008,0.17777777777777778,-15.002450535668002,0.0005163372327551432,0.00125,0.00025,0.0036748030330787033,0.17954400142658403
21891613.791324034,2.4,0.472,0.04,0.008,0.19666666666666666,-14.125384861550366,0.0004759983864461476,0.00125,0.00025,0.003777141892848935,0.16681951336575213
31622776.60168379,2.4,0.464,0.04,0.008,0.19333333333333336,-14.273865223134504,0.0004679306171843485,0.00125,0.00025,0.003876086140945501,0.17414098162699662
